ref_id,book,chapter,verse
1001001,1,1,1
1001002,1,1,2
1001003,1,1,3
1001004,1,1,4
1001005,1,1,5
1001006,1,1,6
1001007,1,1,7
1001008,1,1,8
1001009,1,1,9
1001010,1,1,10
1001011,1,1,11
1001012,1,1,12
1001013,1,1,13
1001014,1,1,14
1001015,1,1,15
1001016,1,1,16
1001017,1,1,17
1001018,1,1,18
1001019,1,1,19
1001020,1,1,20
1001021,1,1,21
1001022,1,1,22
1001023,1,1,23
1001024,1,1,24
1001025,1,1,25
1001026,1,1,26
1001027,1,1,27
1001028,1,1,28
1001029,1,1,29
1001030,1,1,30
1001031,1,1,31
1002001,1,2,1
1002002,1,2,2
1002003,1,2,3
1002004,1,2,4
1002005,1,2,5
1002006,1,2,6
1002007,1,2,7
1002008,1,2,8
1002009,1,2,9
1002010,1,2,10
1002011,1,2,11
1002012,1,2,12
1002013,1,2,13
1002014,1,2,14
1002015,1,2,15
1002016,1,2,16
1002017,1,2,17
1002018,1,2,18
1002019,1,2,19
1002020,1,2,20
1002021,1,2,21
1002022,1,2,22
1002023,1,2,23
1002024,1,2,24
1002025,1,2,25
1003001,1,3,1
1003002,1,3,2
1003003,1,3,3
1003004,1,3,4
1003005,1,3,5
1003006,1,3,6
1003007,1,3,7
1003008,1,3,8
1003009,1,3,9
1003010,1,3,10
1003011,1,3,11
1003012,1,3,12
1003013,1,3,13
1003014,1,3,14
1003015,1,3,15
1003016,1,3,16
1003017,1,3,17
1003018,1,3,18
1003019,1,3,19
1003020,1,3,20
1003021,1,3,21
1003022,1,3,22
1003023,1,3,23
1003024,1,3,24
1004001,1,4,1
1004002,1,4,2
1004003,1,4,3
1004004,1,4,4
1004005,1,4,5
1004006,1,4,6
1004007,1,4,7
1004008,1,4,8
1004009,1,4,9
1004010,1,4,10
1004011,1,4,11
1004012,1,4,12
1004013,1,4,13
1004014,1,4,14
1004015,1,4,15
1004016,1,4,16
1004017,1,4,17
1004018,1,4,18
1004019,1,4,19
1004020,1,4,20
1004021,1,4,21
1004022,1,4,22
1004023,1,4,23
1004024,1,4,24
1004025,1,4,25
1004026,1,4,26
1005001,1,5,1
1005002,1,5,2
1005003,1,5,3
1005004,1,5,4
1005005,1,5,5
1005006,1,5,6
1005007,1,5,7
1005008,1,5,8
1005009,1,5,9
1005010,1,5,10
1005011,1,5,11
1005012,1,5,12
1005013,1,5,13
1005014,1,5,14
1005015,1,5,15
1005016,1,5,16
1005017,1,5,17
1005018,1,5,18
1005019,1,5,19
1005020,1,5,20
1005021,1,5,21
1005022,1,5,22
1005023,1,5,23
1005024,1,5,24
1005025,1,5,25
1005026,1,5,26
1005027,1,5,27
1005028,1,5,28
1005029,1,5,29
1005030,1,5,30
1005031,1,5,31
1005032,1,5,32
1006001,1,6,1
1006002,1,6,2
1006003,1,6,3
1006004,1,6,4
1006005,1,6,5
1006006,1,6,6
1006007,1,6,7
1006008,1,6,8
1006009,1,6,9
1006010,1,6,10
1006011,1,6,11
1006012,1,6,12
1006013,1,6,13
1006014,1,6,14
1006015,1,6,15
1006016,1,6,16
1006017,1,6,17
1006018,1,6,18
1006019,1,6,19
1006020,1,6,20
1006021,1,6,21
1006022,1,6,22
1007001,1,7,1
1007002,1,7,2
1007003,1,7,3
1007004,1,7,4
1007005,1,7,5
1007006,1,7,6
1007007,1,7,7
1007008,1,7,8
1007009,1,7,9
1007010,1,7,10
1007011,1,7,11
1007012,1,7,12
1007013,1,7,13
1007014,1,7,14
1007015,1,7,15
1007016,1,7,16
1007017,1,7,17
1007018,1,7,18
1007019,1,7,19
1007020,1,7,20
1007021,1,7,21
1007022,1,7,22
1007023,1,7,23
1007024,1,7,24
1008001,1,8,1
1008002,1,8,2
1008003,1,8,3
1008004,1,8,4
1008005,1,8,5
1008006,1,8,6
1008007,1,8,7
1008008,1,8,8
1008009,1,8,9
1008010,1,8,10
1008011,1,8,11
1008012,1,8,12
1008013,1,8,13
1008014,1,8,14
1008015,1,8,15
1008016,1,8,16
1008017,1,8,17
1008018,1,8,18
1008019,1,8,19
1008020,1,8,20
1008021,1,8,21
