entitlement,tags,roles
meta-content,create,"{""registeredUser""}"
meta-content,edit,"{""SuperAdmin"", ""resourceCreatedUser""}"
meta-content,read-via-api,"{""noAuthRequired""}"
meta-content,read-via-vachanadmin,"{""SuperAdmin"", ""VachanAdmin""}"
meta-content,view-on-web,"{""noAuthRequired""}"
meta-content,refer-for-translation,"{""registeredUser""}"
content,read-via-api,"{""SuperAdmin"", ""VachanAdmin"", ""BcsDeveloper""}"
content,read-via-vachanadmin,"{""SuperAdmin"", ""VachanAdmin""}"
content,create,"{""SuperAdmin"", ""VachanAdmin""}"
content,edit,"{""SuperAdmin"", ""resourceCreatedUser""}"
open-access,read-via-api,"{""noAuthRequired""}"
open-access,view-on-web,"{""noAuthRequired""}"
open-access,refer-for-translation,"{""SuperAdmin"", ""AgAdmin"", ""AgUser""}"
open-access,translate,"{""SuperAdmin"", ""AgAdmin"", ""AgUser""}"
editable,create,"{""SuperAdmin"", ""VachanAdmin"", ""AgAdmin"", ""AgUser""}"
editable,edit,"{""SuperAdmin"", ""VachanAdmin"", ""AgAdmin"", ""AgUser""}"
publishable,read-via-api,"{""registeredUser""}"
publishable,view-on-web,"{""noAuthRequired""}"
publishable,refer-for-translation,"{""SuperAdmin"", ""AgAdmin"", ""AgUser""}"
downloadable,download-n-save,"{""SuperAdmin"", ""VachanAdmin"", ""VachanUser""}"
derivable,translate,"{""SuperAdmin"", ""AgAdmin"", ""AgUser""}"
translation-project,create,"{""SuperAdmin"", ""AgAdmin"", ""AgUser""}"
translation-project,create-user,"{""SuperAdmin"", ""AgAdmin"", ""projectOwner""}"
translation-project,edit-Settings,"{""SuperAdmin"", ""AgAdmin"", ""projectOwner""}"
translation-project,read-settings,"{""SuperAdmin"", ""AgAdmin"", ""projectOwner"", ""projectMember""}"
translation-project,edit-draft,"{""SuperAdmin"", ""AgAdmin"", ""projectOwner"", ""projectMember""}"
translation-project,read-draft,"{""SuperAdmin"", ""AgAdmin"", ""projectOwner"", ""projectMember"", ""BcsDeveloper""}"
translation-project,view-project,"{""SuperAdmin"", ""AgAdmin"", ""projectOwner"", ""projectMember"", ""BcsDeveloper""}"
generic-translation,read,"{""registeredUser""}"
generic-translation,create,"{""registeredUser""}"
generic-translation,process,"{""registeredUser""}"
lookup-content,read,"{""noAuthRequired""}"
lookup-content,create,"{""registeredUser""}"
lookup-content,edit,"{""registeredUser""}"
research-use,read-via-api,"{""SuperAdmin"", ""BcsDeveloper""}"
jobs,read,"{""registeredUser""}"
media,stream,"{""registeredUser""}"
media,download,"{""registeredUser""}"
file-ops,access-via-api,"{""noAuthRequired""}"
user,create,"{""noAuthRequired""}"
user,edit-role,"{""SuperAdmin""}"
user,edit,"{""SuperAdmin"", ""resourceCreatedUser""}"
user,view-profile,"{""SuperAdmin"", ""resourceCreatedUser""}"
user,read,"{""registeredUser""}"
user,login,"{""noAuthRequired""}"
user,logout,"{""createdUser""}"
user,delete/deactivate,"{""SuperAdmin""}"
app,create,"{""SuperAdmin"", ""VachanAdmin""}"
app,edit,"{""SuperAdmin"", ""VachanAdmin""}"
app,read,"{""SuperAdmin"", ""VachanAdmin""}"
app,operate-via-api,"{""SuperAdmin""}"
app,generate-key,"{""SuperAdmin"", ""VachanAdmin""}"
app,delete-key,"{""SuperAdmin"", ""VachanAdmin""}"
app,delete/deactivate,"{""SuperAdmin"", ""VachanAdmin""}"
access-control,create,"{""SuperAdmin"", ""VachanAdmin""}"
access-control,edit,"{""SuperAdmin"", ""VachanAdmin""}"
access-control,read,"{""SuperAdmin"", ""VachanAdmin""}"
