Endpoints,Method,RequestApp,FilterResults,ResourceType,Permission
/v2/user/register,POST,Autographa,FALSE,user,create
/v2/user/register,POST,Vachan-online or vachan-app,FALSE,user,create
/v2/user/register,POST,VachanAdmin,FALSE,user,create
/v2/user/register,POST,API-user,FALSE,user,create
/v2/user/login,GET,Autographa,FALSE,user,login
/v2/user/login,GET,Vachan-online or vachan-app,FALSE,user,login
/v2/user/login,GET,VachanAdmin,FALSE,user,login
/v2/user/login,GET,API-user,FALSE,user,login
/v2/user/{user_id},PUT,Autographa,FALSE,user,edit
/v2/user/{user_id},PUT,Vachan-online or vachan-app,FALSE,user,edit
/v2/user/{user_id},PUT,VachanAdmin,FALSE,user,edit
/v2/user/{user_id},PUT,API-user,FALSE,user,edit
/v2/users,GET,Autographa,FALSE,user,read
/v2/users,GET,Vachan-online or vachan-app,FALSE,user,read
/v2/users,GET,VachanAdmin,FALSE,user,read
/v2/users,GET,API-user,FALSE,user,read
/v2/user/{user_id},GET,Autographa,FALSE,user,view-profile
/v2/user/{user_id},GET,Vachan-online or vachan-app,FALSE,user,view-profile
/v2/user/{user_id},GET,VachanAdmin,FALSE,user,view-profile
/v2/user/{user_id},GET,API-user,FALSE,user,view-profile
/v2/user/logout,GET,Autographa,FALSE,user,logout
/v2/user/logout,GET,Vachan-online or vachan-app,FALSE,user,logout
/v2/user/logout,GET,VachanAdmin,FALSE,user,logout
/v2/user/logout,GET,API-user,FALSE,user,logout
/v2/user/role,PUT,Autographa,FALSE,user,edit-role
/v2/user/role,PUT,Vachan-online or vachan-app,FALSE,user,edit-role
/v2/user/role,PUT,VachanAdmin,FALSE,user,edit-role
/v2/user/role,PUT,API-user,FALSE,user,edit-role
/v2/user/delete-identity,DELETE,Autographa,FALSE,user,delete/deactivate
/v2/user/delete-identity,DELETE,Vachan-online or vachan-app,FALSE,user,delete/deactivate
/v2/user/delete-identity,DELETE,VachanAdmin,FALSE,user,delete/deactivate
/v2/user/delete-identity,DELETE,API-user,FALSE,user,delete/deactivate
/v2/app/register,POST,VachanAdmin,FALSE,app,create
/v2/app/key,GET,VachanAdmin,FALSE,app,generate-key
/v2/app/key,GET,API-user,FALSE,app,operate-via-api
/v2/app/delete-key,GET,VachanAdmin,FALSE,app,delete-key
