language_code,language_name,script_direction,metadata
aa,Afar,left-to-right,"{""region"": ""Ethiopia, Africa"", ""alternate-names"": [""Afaraf"", ""Danakil"", ""Denkel"", ""Adal"", ""Afar Af"", ""Qafar"", ""Baadu (Ba'adu)""]}"
ab,Abkhazian,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Georgia, Asia"", ""alternate-names"": [""Abxazo""]}"
ae,Avestan,,{}
af,Afrikaans,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""South Africa, Africa"", ""alternate-names"": [""Cape Afrikaans (West Cape Afrikaans)""]}"
ak,Akan,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Ghana, Africa"", ""alternate-names"": [""Ashante Twi"", ""Bono"", ""Dankyira"", ""Fante (Fanti)"", ""Gomua"", ""Kwawu (Kwahu)"", ""Asen"", ""Twi"", ""Akyem (Akyem Bosome)"", ""Mfantse"", ""Asanti"", ""Anomabo Fanti"", ""Akwapi"", ""Akwapem Twi"", ""Akuapem (Akuapim)"", ""Ahafo"", ""Agona"", ""Abura Fanti"", ""Asante (Achanti)""]}"
am,Amharic,left-to-right,"{""suppress-script"": ""Ethi"", ""region"": ""Ethiopia, Africa"", ""alternate-names"": [""Abyssinian"", ""Amarigna"", ""Amarinya"", ""Amhara"", ""Ethiopian"", ""Falasha""], ""is-gateway-language"": true}"
an,Aragonese,left-to-right,"{""region"": ""Spain, Europe"", ""alternate-names"": [""Altoaragon\u00e9s"", ""Aragoieraz"", ""Aragon\u00e9s"", ""Fabla Aragonesa"", ""High Aragonese"", ""Patu\u00e9s"", ""Grausino"", ""Western Aragonese (Ansotano)"", ""Tensino"", ""Southern Aragonese (Ayerbense)"", ""Semontan\u00e9s"", ""Pandicuto"", ""Eastern Aragonese (Benasqu\u00e9s)"", ""Chistabino"", ""Cheso"", ""Central Aragonese (Belset\u00e1n)"", ""Bergot\u00e9s"", ""Fobano""]}"
ar,Arabic,right-to-left,"{""suppress-script"": ""Arab"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Saudi Arabia, Asia"", ""is-gateway-language"": true}"
as,Assamese,left-to-right,"{""suppress-script"": ""Beng"", ""region"": ""India, Asia"", ""alternate-names"": [""Asambe"", ""Asami"", ""Asamiya"", ""Jharwa (Pidgin)"", ""Standard Assamese"", ""Western Assamese (Kamrupi)""], ""is-gateway-language"": true}"
av,Avaric,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Avaro"", ""Dagestani"", ""Bolmac"", ""Khundzuri"", ""Maarul Dagestani"", ""Qusur"", ""South-East Avar (Andalal)"", ""South-West Avar (Batlukh)"", ""Unkratl"", ""North Avar (Andian Avar)"", ""Zaqatala (Char)"", ""Khunzakh"", ""Zaqatal (Char)"", ""Andalal Shulanin"", ""Karakh"", ""Hid Keleb"", ""Hid Kaxib"", ""Bolmats"", ""Antsukh (Ancux)"", ""Antsukh"", ""Andalal Untib"", ""Qarakh (Bacadin)""]}"
ay,Aymara,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Bolivia, Americas""}"
az,Azerbaijani,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Azerbaijan, Asia""}"
ba,Bashkir,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Basquort"", ""Burzhan (Western Bashkir)"", ""Kuvakan (Mountain Bashkir)"", ""Yurmaty (Steppe Bashkir)""]}"
be,Belarusian,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Belarus, Europe"", ""alternate-names"": [""Belarusian"", ""Belorussian"", ""Bielorussian"", ""Byelorussian"", ""White Russian"", ""White Ruthenian"", ""Southwest Belarusan (Grodnen-Baranovich)"", ""Viteb-Mogilev"", ""Slutska-Mazyrski"", ""Northeast Belarusan (Polots)"", ""Slutsko-Mozyr"", ""Belarussian""]}"
bg,Bulgarian,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Bulgaria, Europe"", ""alternate-names"": [""Balgarski"", ""Palitiani"", ""Palityan (Bogomil)"", ""Pomak (Pomakci)"", ""Pomakika""]}"
bh,Bihari languages,,"{""description"": ""This represents a collection of languages. Although a collection subtag can be used in the absence of a more specific tag, you should check whether a more specific language subtag is available. ""}"
bi,Bislama,left-to-right,"{""region"": ""Vanuatu, Pacific"", ""alternate-names"": [""Bichelamar""], ""is-gateway-language"": true}"
bm,Bambara,left-to-right,"{""region"": ""Mali, Africa"", ""alternate-names"": [""Bamako"", ""Bamana"", ""Bamanakan"", ""Wassulunke"", ""Wassulunka"", ""Wasulunkakan (Maninkakan)"", ""Ganadugu"", ""Eastern"", ""Wasuu"", ""Wassulu""]}"
bn,Bengali,left-to-right,"{""suppress-script"": ""Beng"", ""description"": ""Bangla"", ""region"": ""Bangladesh, Asia"", ""alternate-names"": [""Bangala"", ""Bangla-Bhasa"", ""Siripuria (Kishanganjia)"", ""Barisal"", ""Khulna"", ""Lohari-Malpaharia"", ""Mymensingh"", ""Noakhali""], ""is-gateway-language"": true}"
bo,Tibetan,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Bhokha"", ""Byokha"", ""Dbusgtsang"", ""Phoke"", ""Tibetan"", ""U"", ""Wei"", ""Weizang"", ""Zang"", ""Bod"", ""Central Tibetan"", ""Pohbetian"", ""Poke"", ""Skad"", ""Tebilian"", ""Tibate"", ""Bod Skad"", ""Zang Wen"", ""Nganshuenkuan (Anshuenkuan Nyarong)"", ""Hanniu"", ""Utsang"", ""Tsang"", ""Panakha-Panags"", ""Mngahris (Ngari)"", ""Dru"", ""Aba (Batang)"", ""Diaspora Tibetan"", ""Gtsang (Lhasa)"", ""Deqing Zang"", ""Dartsemdo (Tatsienlu)"", ""Paurong""]}"
br,Breton,left-to-right,"{""region"": ""France, Europe"", ""alternate-names"": [""Brezhoneg"", ""Gwenedeg (Vannetais)"", ""Kerneveg (Cornouaillais)"", ""Leoneg (Leonais)"", ""Tregerieg (Tregorrois)""]}"
bs,Bosnian,left-to-right,"{""macrolanguage"": ""sh"", ""suppress-script"": ""Latn"", ""region"": ""Bosnia and Herzegovina, Europe"", ""alternate-names"": [""Ijekav\u00edan"", ""Ikavian""]}"
ca,Catalan,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""Valencian"", ""region"": ""Spain, Europe"", ""alternate-names"": [""Catal\u00e0"", ""Catalan-Valencian-Balear"", ""Catalonian"", ""Algherese Catalan"", ""Menorquin"", ""Insular Catalan"", ""Valenciano"", ""Valencian (Valenci\u00e0)"", ""Ribagor\u00e7an"", ""Pallarese"", ""Northwestern Catalan (Aiguavivan)"", ""Menorqui"", ""Lleidat\u00e0"", ""Eivissenc"", ""Central Catalan"", ""Catalan-Rousillonese (Northern Catal\u00e1n)"", ""Balearic (Balear)"", ""Mallorqui""]}"
