lang_code,lang_name,lang_code_alias,lang_id
abi,Abidji,abi,100001
abk,Abkhaz,abk,100002
abp,"Ayta, Abellen",abp,100003
aca,Achagua,aca,100004
acd,Gikyode,acd,100005
ace,Aceh,ace,100006
acf,Lesser Antillean French Creole,acf,100007
ach,Acholi,ach,100008
acn,Achang,acn,100009
acr,Achi,acr,100010
acu,Achuar-Shiwiar,acu,100011
ade,Adele,ade,100012
adh,Jopadhola,adh,100013
adj,Adioukrou,adj,100014
adx,"Tibetan, Amdo",adx,100015
aeu,Akeu,aeu,100016
afr,Afrikaans,afr,100017
agd,Agarabi,agd,100018
agg,Angor,agg,100019
agn,Agutaynen,agn,100020
agr,Awajún,agr,100021
agu,Awakateko,agu,100022
agx,Aghul,agx,100023
aha,Ahanta,aha,100024
ahk,Akha,ahk,100025
aia,Arosi,aia,100026
aka,Akan,aka,100027
akb,Batak Angkola,akb,100028
ake,Akawaio,ake,100029
akp,Siwu,akp,100030
alj,Alangan,alj,100031
alp,Alune,alp,100032
alt,"Altai, Southern",alt,100033
alz,Alur,alz,100034
ame,Yanesha’,ame,100035
amf,Hamer-Banna,amf,100036
amh,Amharic,amh,100037
ami,Amis,ami,100038
amk,Ambai,amk,100039
ann,Obolo,ann,100040
any,Anyin,any,100041
aoz,Uab Meto,aoz,100042
apb,Sa’a,apb,100043
apr,Arop-Lokep,apr,100044
ara,Arabic,ara,100045
arl,Arabela,arl,100046
asa,Asu,asa,100047
asg,Cishingini,asg,100048
asm,Assamese,asm,100049
ast,Asturian,ast,100050
ata,Pele-Ata,ata,100051
atb,Zaiwa,atb,100052
atg,Ivbie North-Okpela-Arhe,atg,100053
ati,Attié,ati,100054
atq,Aralle-Tabulahan,atq,100055
ava,Avar,ava,100056
avn,Avatime,avn,100057
avu,Avokaya,avu,100058
awa,Awadhi,awa,100059
awb,Awa,awb,100060
ayo,Ayoreo,ayo,100061
ayr,"Aymara, Central",ayr,100062
ayz,Mai Brat,ayz,100063
azb,"Azerbaijani, South",azb,100064
azg,"Amuzgo, San Pedro Amuzgos",azg,100065
azj-script_cyrillic,"Azerbaijani, North",azj-script_cyrillic,100066
azj-script_latin,"Azerbaijani, North",azj-script_latin,100067
azz,"Nahuatl, Highland Puebla",azz,100068
bak,Bashkort,bak,100069
bam,Bamanankan,bam,100070
ban,Bali,ban,100071
bao,Waimaha,bao,100072
bas,Basaa,bas,100073
bav,Vengo,bav,100074
bba,Baatonum,bba,100075
bbb,Barai,bbb,100076
bbc,Batak Toba,bbc,100077
bbo,Konabéré,bbo,100078
bcc-script_arabic,"Balochi, Southern",bcc-script_arabic,100079
bcc-script_latin,"Balochi, Southern",bcc-script_latin,100080
bcl,"Bikol, Central",bcl,100081
bcw,Bana,bcw,100082
bdg,Bonggi,bdg,100083
bdh,Baka,bdh,100084
bdq,Bahnar,bdq,100085
bdu,Oroko,bdu,100086
bdv,Bodo Parja,bdv,100087
beh,Biali,beh,100088
bel,Belarusian,bel,100089
bem,Bemba,bem,100090
ben,Bengali,ben,100091
bep,Behoa,bep,100092
bex,Jur Modo,bex,100093
bfa,Bari,bfa,100094
bfo,"Birifor, Malba",bfo,100095
bfy,Bagheli,bfy,100096
bfz,"Pahari, Mahasu",bfz,100097
bgc,Haryanvi,bgc,100098
bgq,Bagri,bgq,100099
bgr,"Chin, Bawm",bgr,100100
bgt,Bughotu,bgt,100101
bgw,Bhatri,bgw,100102
bha,Bharia,bha,100103
bht,Bhattiyali,bht,100104
bhz,Bada,bhz,100105
bib,Bisa,bib,100106
bim,Bimoba,bim,100107
bis,Bislama,bis,100108
biv,"Birifor, Southern",biv,100109
bjr,Binumarien,bjr,100110
bjv,Bedjond,bjv,100111
bjw,Bakwé,bjw,100112
bjz,Baruga,bjz,100113
bkd,Binukid,bkd,100114
bkv,Bekwarra,bkv,100115
blh,Kuwaa,blh,100116
blt,Tai Dam,blt,100117
blx,"Ayta, Mag-Indi",blx,100118
blz,Balantak,blz,100119
bmq,Bomu,bmq,100120
bmr,Muinane,bmr,100121
bmu,Somba-Siawari,bmu,100122
bmv,Bum,bmv,100123
bng,Benga,bng,100124
bno,Bantoanon,bno,100125
bnp,Bola,bnp,100126
boa,Bora,boa,100127
bod,"Tibetan, Central",bod,100128
boj,Anjam,boj,100129
bom,Berom,bom,100130
bor,Borôro,bor,100131
bos,Bosnian,bos,100132
bov,Tuwuli,bov,100133
box,Buamu,box,100134
