lang_code,lang_name,lang_code_alias,lang_id
ace_Arab,Acehnese (Arabic script),ace_Arab,101199
ace_Latn,Acehnese (Latin script),ace_Latn,101200
acm_Arab,Mesopotamian Arabic,acm_Arab,101201
acq_Arab,Ta’izzi-Adeni Arabic,acq_Arab,101202
aeb_Arab,Tunisian Arabic,aeb_Arab,101203
afr_Latn,Afrikaans,afr_Latn,101204
ajp_Arab,South Levantine Arabic,ajp_Arab,101205
aka_Latn,Akan,aka_Latn,101206
amh_Ethi,Amharic,amh_Ethi,101207
apc_Arab,North Levantine Arabic,apc_Arab,101208
arb_Arab,Modern Standard Arabic,arb_Arab,101209
arb_Latn,Modern Standard Arabic (Romanized),arb_Latn,101210
ars_Arab,Najdi Arabic,ars_Arab,101211
ary_Arab,Moroccan Arabic,ary_Arab,101212
arz_Arab,Egyptian Arabic,arz_Arab,101213
asm_Beng,Assamese,asm_Beng,101214
ast_Latn,Asturian,ast_Latn,101215
awa_Deva,Awadhi,awa_Deva,101216
ayr_Latn,Central Aymara,ayr_Latn,101217
azb_Arab,South Azerbaijani,azb_Arab,101218
azj_Latn,North Azerbaijani,azj_Latn,101219
bak_Cyrl,Bashkir,bak_Cyrl,101220
bam_Latn,Bambara,bam_Latn,101221
ban_Latn,Balinese,ban_Latn,101222
bel_Cyrl,Belarusian,bel_Cyrl,101223
bem_Latn,Bemba,bem_Latn,101224
ben_Beng,Bengali,ben_Beng,101225
bho_Deva,Bhojpuri,bho_Deva,101226
bjn_Arab,Banjar (Arabic script),bjn_Arab,101227
bjn_Latn,Banjar (Latin script),bjn_Latn,101228
bod_Tibt,Standard Tibetan,bod_Tibt,101229
bos_Latn,Bosnian,bos_Latn,101230
bug_Latn,Buginese,bug_Latn,101231
bul_Cyrl,Bulgarian,bul_Cyrl,101232
cat_Latn,Catalan,cat_Latn,101233
ceb_Latn,Cebuano,ceb_Latn,101234
ces_Latn,Czech,ces_Latn,101235
cjk_Latn,Chokwe,cjk_Latn,101236
ckb_Arab,Central Kurdish,ckb_Arab,101237
crh_Latn,Crimean Tatar,crh_Latn,101238
cym_Latn,Welsh,cym_Latn,101239
dan_Latn,Danish,dan_Latn,101240
deu_Latn,German,deu_Latn,101241
dik_Latn,Southwestern Dinka,dik_Latn,101242
dyu_Latn,Dyula,dyu_Latn,101243
dzo_Tibt,Dzongkha,dzo_Tibt,101244
ell_Grek,Greek,ell_Grek,101245
eng_Latn,English,eng_Latn,101246
epo_Latn,Esperanto,epo_Latn,101247
est_Latn,Estonian,est_Latn,101248
eus_Latn,Basque,eus_Latn,101249
