aa,Afar,ltr,"{'region': 'Ethiopia, Africa', 'alternate-names': ['Afaraf', 'Danakil', 'Denkel', 'Adal', 'Afar Af', 'Qafar', ""Baadu (Ba'adu)""]}"
ab,Abkhazian,ltr,"{'suppress-script': 'Cyrl', 'region': 'Georgia, Asia', 'alternate-names': ['Abxazo']}"
ae,Avestan,,{}
af,Afrikaans,ltr,"{'suppress-script': 'Latn', 'region': 'South Africa, Africa', 'alternate-names': ['Cape Afrikaans (West Cape Afrikaans)']}"
ak,Akan,ltr,"{'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Ghana, Africa', 'alternate-names': ['Ashante Twi', 'Bono', 'Dankyira', 'Fante (Fanti)', 'Gomua', 'Kwawu (Kwahu)', 'Asen', 'Twi', 'Akyem (Akyem Bosome)', 'Mfantse', 'Asanti', 'Anomabo Fanti', 'Akwapi', 'Akwapem Twi', 'Akuapem (Akuapim)', 'Ahafo', 'Agona', 'Abura Fanti', 'Asante (Achanti)']}"
am,Amharic,ltr,"{'suppress-script': 'Ethi', 'region': 'Ethiopia, Africa', 'alternate-names': ['Abyssinian', 'Amarigna', 'Amarinya', 'Amhara', 'Ethiopian', 'Falasha'], 'is-gateway-language': True}"
an,Aragonese,ltr,"{'region': 'Spain, Europe', 'alternate-names': ['Altoaragonés', 'Aragoieraz', 'Aragonés', 'Fabla Aragonesa', 'High Aragonese', 'Patués', 'Grausino', 'Western Aragonese (Ansotano)', 'Tensino', 'Southern Aragonese (Ayerbense)', 'Semontanés', 'Pandicuto', 'Eastern Aragonese (Benasqués)', 'Chistabino', 'Cheso', 'Central Aragonese (Belsetán)', 'Bergotés', 'Fobano']}"
ar,Arabic,rtl,"{'suppress-script': 'Arab', 'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Saudi Arabia, Asia', 'is-gateway-language': True}"
as,Assamese,ltr,"{'suppress-script': 'Beng', 'region': 'India, Asia', 'alternate-names': ['Asambe', 'Asami', 'Asamiya', 'Jharwa (Pidgin)', 'Standard Assamese', 'Western Assamese (Kamrupi)'], 'is-gateway-language': True}"
av,Avaric,ltr,"{'region': 'Russian Federation, Europe', 'alternate-names': ['Avaro', 'Dagestani', 'Bolmac', 'Khundzuri', 'Maarul Dagestani', 'Qusur', 'South-East Avar (Andalal)', 'South-West Avar (Batlukh)', 'Unkratl', 'North Avar (Andian Avar)', 'Zaqatala (Char)', 'Khunzakh', 'Zaqatal (Char)', 'Andalal Shulanin', 'Karakh', 'Hid Keleb', 'Hid Kaxib', 'Bolmats', 'Antsukh (Ancux)', 'Antsukh', 'Andalal Untib', 'Qarakh (Bacadin)']}"
ay,Aymara,ltr,"{'suppress-script': 'Latn', 'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Bolivia, Americas'}"
az,Azerbaijani,ltr,"{'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Azerbaijan, Asia'}"
ba,Bashkir,ltr,"{'region': 'Russian Federation, Europe', 'alternate-names': ['Basquort', 'Burzhan (Western Bashkir)', 'Kuvakan (Mountain Bashkir)', 'Yurmaty (Steppe Bashkir)']}"
be,Belarusian,ltr,"{'suppress-script': 'Cyrl', 'region': 'Belarus, Europe', 'alternate-names': ['Belarusian', 'Belorussian', 'Bielorussian', 'Byelorussian', 'White Russian', 'White Ruthenian', 'Southwest Belarusan (Grodnen-Baranovich)', 'Viteb-Mogilev', 'Slutska-Mazyrski', 'Northeast Belarusan (Polots)', 'Slutsko-Mozyr', 'Belarussian']}"
bg,Bulgarian,ltr,"{'suppress-script': 'Cyrl', 'region': 'Bulgaria, Europe', 'alternate-names': ['Balgarski', 'Palitiani', 'Palityan (Bogomil)', 'Pomak (Pomakci)', 'Pomakika']}"
bh,Bihari languages,,"{'description': 'This represents a collection of languages. Although a collection subtag can be used in the absence of a more specific tag, you should check whether a more specific language subtag is available. '}"
bi,Bislama,ltr,"{'region': 'Vanuatu, Pacific', 'alternate-names': ['Bichelamar'], 'is-gateway-language': True}"
bm,Bambara,ltr,"{'region': 'Mali, Africa', 'alternate-names': ['Bamako', 'Bamana', 'Bamanakan', 'Wassulunke', 'Wassulunka', 'Wasulunkakan (Maninkakan)', 'Ganadugu', 'Eastern', 'Wasuu', 'Wassulu']}"
bn,Bengali,ltr,"{'suppress-script': 'Beng', 'description': 'Bangla', 'region': 'Bangladesh, Asia', 'alternate-names': ['Bangala', 'Bangla-Bhasa', 'Siripuria (Kishanganjia)', 'Barisal', 'Khulna', 'Lohari-Malpaharia', 'Mymensingh', 'Noakhali'], 'is-gateway-language': True}"
bo,Tibetan,ltr,"{'region': 'China, Asia', 'alternate-names': ['Bhokha', 'Byokha', 'Dbusgtsang', 'Phoke', 'Tibetan', 'U', 'Wei', 'Weizang', 'Zang', 'Bod', 'Central Tibetan', 'Pohbetian', 'Poke', 'Skad', 'Tebilian', 'Tibate', 'Bod Skad', 'Zang Wen', 'Nganshuenkuan (Anshuenkuan Nyarong)', 'Hanniu', 'Utsang', 'Tsang', 'Panakha-Panags', 'Mngahris (Ngari)', 'Dru', 'Aba (Batang)', 'Diaspora Tibetan', 'Gtsang (Lhasa)', 'Deqing Zang', 'Dartsemdo (Tatsienlu)', 'Paurong']}"
br,Breton,ltr,"{'region': 'France, Europe', 'alternate-names': ['Brezhoneg', 'Gwenedeg (Vannetais)', 'Kerneveg (Cornouaillais)', 'Leoneg (Leonais)', 'Tregerieg (Tregorrois)']}"
bs,Bosnian,ltr,"{'macrolanguage': 'sh', 'suppress-script': 'Latn', 'region': 'Bosnia and Herzegovina, Europe', 'alternate-names': ['Ijekavían', 'Ikavian']}"
ca,Catalan,ltr,"{'suppress-script': 'Latn', 'description': 'Valencian', 'region': 'Spain, Europe', 'alternate-names': ['Català', 'Catalan-Valencian-Balear', 'Catalonian', 'Algherese Catalan', 'Menorquin', 'Insular Catalan', 'Valenciano', 'Valencian (Valencià)', 'Ribagorçan', 'Pallarese', 'Northwestern Catalan (Aiguavivan)', 'Menorqui', 'Lleidatà', 'Eivissenc', 'Central Catalan', 'Catalan-Rousillonese (Northern Catalán)', 'Balearic (Balear)', 'Mallorqui']}"
ce,Chechen,ltr,"{'region': 'Russian Federation, Europe', 'alternate-names': ['Galancho', 'Nokchiin Muott', 'Nokhchiin', 'Akkin (Aux)', 'Itumkala (Shatoi)']}"
ch,Chamorro,ltr,"{'suppress-script': 'Latn', 'region': 'Guam, Pacific', 'alternate-names': ['Chamorru', 'Tjamoro']}"
co,Corsican,ltr,"{'region': 'France, Europe', 'alternate-names': ['Corse', 'Corsi', 'Corso', 'Corsu', 'Cape Cors', 'Northern Corsican (Bastia)', 'Corsos']}"
cr,Cree,ltr,"{'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Canada, Americas'}"
cs,Czech,ltr,"{'suppress-script': 'Latn', 'region': 'Czechia, Czech Republic, Europe', 'alternate-names': ['Bohemian', 'Cestina', 'Lach (Yalach)']}"
cu,Church Slavic,ltr,"{'description': 'Church Slavonic. Old Bulgarian. Old Church Slavonic. Old Slavonic', 'region': 'Russian Federation, Europe'}"
cv,Chuvash,ltr,"{'region': 'Russian Federation, Europe', 'alternate-names': ['Bulgar']}"
cy,Welsh,ltr,"{'suppress-script': 'Latn', 'region': 'United Kingdom, Europe', 'alternate-names': ['Cymraeg']}"
da,Danish,ltr,"{'suppress-script': 'Latn', 'region': 'Denmark, Europe', 'alternate-names': ['Dänisch', 'Dansk', 'Rigsdansk', 'Bornholmsk (Eastern Danish)', 'Sønderjysk (Southern Jutlandic)']}"
de,German,ltr,"{'suppress-script': 'Latn', 'region': 'Germany, Europe', 'alternate-names': ['Deutsch', 'Tedesco', 'Kärntnerisch', 'Transylvanian']}"
dv,Dhivehi,rtl,"{'suppress-script': 'Thaa', 'description': 'Divehi. Maldivian', 'region': 'Maldives, Asia', 'alternate-names': ['Dhivehi Bas', 'Divehi', 'Mahl', 'Malikh', 'Malki', 'Divehi Bas', 'Divehli', 'Mali', 'Maliku Bas (Minicoy Dialect)', 'Fuvah Mulaku', 'Huvadu', 'Malé', 'Maliku Bas']}"
dz,Dzongkha,ltr,"{'suppress-script': 'Tibt', 'region': 'Bhutan, Asia', 'alternate-names': ['Bhotia of Bhutan', 'Bhotia of Dukpa', 'Bhutanese', 'Drukha', 'Drukke', 'Dukpa', 'Jonkha', 'Rdzongkha', 'Zongkhar', 'Drukpa', 'Hloka', 'Lhoskad', 'Wang-The (Thimphu-Punakha)']}"
ee,Ewe,ltr,"{'region': 'Ghana, Africa', 'alternate-names': ['Ebwe', 'Efe', 'Eibe', 'Eue', 'Eve', 'Gbe', 'Krepe', 'Krepi', 'Popo', 'Vhe', 'Ehwe', 'Be', 'Vlin', 'Vo', 'Togo', 'Ho', 'Gbin', 'Aveno', 'Anglo (Anlo)', 'Adan', 'Agu', 'Awlan']}"
el,Modern Greek (1453-),ltr,"{'suppress-script': 'Grek', 'region': 'Greece, Europe', 'alternate-names': ['Ellinika', 'Graecae', 'Grec', 'Greco', 'Neo-Hellenic', 'Romaic', 'Griko', 'Tavro-Rumeic', 'Mariupol Greek (Crimeo-Rumeic)']}"
en,English,ltr,"{'suppress-script': 'Latn', 'region': 'United Kingdom, Europe', 'alternate-names': ['Anglit', 'Kiingereza', 'Gustavia English', 'Samaná English', 'Saint Lucian English', 'Noongar', 'Noonga', 'Newcastle Northumber', 'Neo-Nyungar (Noogar)', 'Glaswegian', 'Brummy', 'Birmingham (Brummie)', 'Bay Islands English', 'Australian Standard English', 'Aboriginal English', 'African American Vernacular English (AAVE)'], 'is-gateway-language': True}"
eo,Esperanto,ltr,"{'suppress-script': 'Latn', 'region': 'Poland, Europe', 'alternate-names': ['Eo', 'La Lingvo Internacia']}"
es,Spanish,ltr,"{'suppress-script': 'Latn', 'description': 'Castilian', 'region': 'Spain, Europe', 'alternate-names': ['Castilian', 'Español', 'Castillan', 'Islenyo', 'Afro-Yungueño (Black Spanish)', 'Silbo Gomero', 'Rioplatense', 'Portuñol', 'Portunhol', 'Lunfardo', 'Llanito (Yanito)', 'Isleno (Isleño)', 'Chicano (Caló)', 'Canary Islands Spanish (Isleño)', 'Andaluz', 'Andalusian (Andalú)', 'American Spanish (Chicano)', 'Andalusí'], 'is-gateway-language': True}"
et,Estonian,ltr,"{'suppress-script': 'Latn', 'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Estonia, Europe'}"
eu,Basque,ltr,"{'suppress-script': 'Latn', 'region': 'Spain, Europe', 'alternate-names': ['Euskara', 'Euskera', 'Vascuense', 'Roncalese', 'Navarro-Labourdin (Bajo Navarro Occidental)', 'Xiberoera', 'Western Low Navarrese', 'Upper Navarran', 'Suletino', 'Souletin (Souletino)', 'Zuberoera', 'Labourdin', 'Alto Navarro Septentrional (High Navarrese)', 'Guipuzcoano', 'Gipuzkera (Gipuzkoan)', 'Eastern Low Navarrese', 'Biscayan (Vizcaino)', 'Benaffarera', 'Bajo Navarro Oriental', 'Lapurdiera', 'Suberoan']}"
fa,Persian,rtl,"{'suppress-script': 'Arab', 'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Islamic Republic of Iran, Asia', 'is-gateway-language': True}"
ff,Fulah,ltr,"{'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Senegal, Africa'}"
fi,Finnish,ltr,"{'suppress-script': 'Latn', 'region': 'Finland, Europe', 'alternate-names': ['Suomi', 'Finska', 'Häme (Tavast)', 'Finnish Karjala', 'Savo (Savolax)', 'Southeastern Finnish (Finnish Karelian)']}"
fj,Fijian,ltr,"{'suppress-script': 'Latn', 'region': 'Fiji, Pacific', 'alternate-names': ['Eastern Fijian', 'Fiji', 'Standard Fijian', 'Northeast Vanua Levu (Dogotuki Saqani)', 'Tavuki', 'Tokaimalo', 'Southeast Vanua Levu (Baumaa)', 'Seaqaaqaa', 'Savusavu', 'Ono', 'Northeast Viti Levu (Lovoni)', 'Namena', 'Nabalebale', 'Mbau', 'Labasa', 'Korolau', 'Kadavu (Nabukelevu)', 'Bau (Bauan)', 'Central Vanua Levu (Baaravi)', 'Nav']}"
fo,Faroese,ltr,"{'suppress-script': 'Latn', 'region': 'Denmark, Europe', 'alternate-names': ['Føroyskt']}"
fr,French,ltr,"{'suppress-script': 'Latn', 'region': 'France, Europe', 'alternate-names': ['Français', 'Francés', 'Québécois', 'Sous le Vent (Saint Barthélemy Patois)', 'Shippagan', 'Serquiais', 'Saintongeais', 'Norman (Normand)', 'Jurassien', 'Jèrriais', 'Franco-Terreneuvien', 'Acadian (Acadien)', 'Franche-Comtois (Fribourgois)'], 'is-gateway-language': True}"
fy,Western Frisian,ltr,"{'suppress-script': 'Latn', 'region': 'Netherlands, Europe', 'alternate-names': ['Fries', 'Frysk', 'Westerlauwers Fries', 'Klaaifrysk', 'Súdhoeksk', 'Wâldfrysk']}"
ga,Irish,ltr,"{'suppress-script': 'Latn', 'region': 'Ireland, Europe', 'alternate-names': ['Erse', 'Gaeilge', 'Gaelic Irish', 'Donegal (Northern Irish)', 'Munster-Leinster (Southern Irish)', 'Connacht (Western Irish)']}"
gd,Scottish Gaelic,ltr,"{'description': 'Gaelic', 'region': 'United Kingdom, Europe', 'alternate-names': ['Gaelic', 'Gàidhlig', 'Scots Gaelic']}"
gl,Galician,ltr,"{'suppress-script': 'Latn', 'region': 'Spain, Europe', 'alternate-names': ['Galego', 'Gallego', 'Rionorese (Rionorês)', 'Guadramilese (Guadramilês)']}"
gn,Guarani,ltr,"{'suppress-script': 'Latn', 'description': 'This represents a marco language. A more specific tag might be available. ', 'region': 'Paraguay, Americas'}"
gu,Gujarati,ltr,"{'suppress-script': 'Gujr', 'region': 'India, Asia', 'alternate-names': ['Gujerathi', 'Gujerati', 'Gujrathi', 'Kathiyawadi (Bhawnagari)', 'Standard Gujarati (Mumbai Gujarati)', 'Sorathi', 'Patidari', 'Patani', 'Gamadia (Ahmedabad Gamadia)', 'Naga', 'Surati', 'Vadodari', 'Holadi', 'Gohilwadi', 'Eastern Broach Gujarati', 'Charotari', 'Brathela', 'Anawla', 'Jhalawadi', 'Gramya'], 'is-gateway-language': True}"
gv,Manx,ltr,"{'suppress-script': 'Latn', 'region': 'Isle of Man, Europe', 'alternate-names': ['Gaelg', 'Gailck', 'Manx Gaelic']}"
ha,Hausa,ltr,"{'region': 'Nigeria, Africa', 'alternate-names': ['Haoussa', 'Hawsa', 'Hausawa', 'Haussa', 'Abakwariga', 'Habe', 'Kado', 'Mgbakpa'], 'is-gateway-language': True}"
he,Hebrew,rtl,"{'suppress-script': 'Hebr', 'region': 'Israel, Asia', 'alternate-names': ['Israeli', 'Ivrit', 'General Israeli', 'Oriental Hebrew (Arabized Hebrew)', 'Standard Hebrew (Europeanized Hebrew)', 'Yemenite Hebrew']}"
hi,Hindi,ltr,"{'suppress-script': 'Deva', 'region': 'India, Asia', 'alternate-names': ['Khadi Boli', 'Khari Boli', 'Dakhini', 'Hindi-Urdu', 'Khariboli'], 'is-gateway-language': True}"
ho,Hiri Motu,ltr,"{'region': 'Papua New Guinea, Pacific', 'alternate-names': ['Hiri', 'Pidgin Motu', 'Police Motu']}"
hr,Croatian,ltr,"{'macrolanguage': 'sh', 'suppress-script': 'Latn', 'region': 'Croatia, Europe', 'alternate-names': ['Hrvatski', 'Molise Croatian', 'Shtokavski (Ijekavski)', 'Serbian']}"
ht,Haitian,ltr,"{'suppress-script': 'Latn', 'description': 'Haitian Creole', 'region': 'Haiti, Americas', 'alternate-names': ['Creole', 'Haitian Creole']}"
hu,Hungarian,ltr,"{'suppress-script': 'Latn', 'region': 'Hungary, Europe', 'alternate-names': ['Magyar', 'Southern Transdanubian', 'Central Transdanubian', 'Western Transdanubian', 'Tisza–Körös', 'Székely', 'Palóc', 'North-eastern Hungarian', 'Mezoségi', 'Csángó', 'Southern Great Plains']}"
