language_id,language_code,language_name
2,aaa,ghotuo
3,aab,alumu-tesu
4,aac,ari
5,aad,amal
6,aae,"albanian, arbëreshë"
7,aaf,aranadan
8,aag,ambrak
9,aah,"arapesh, abu’"
10,aai,miniafia oyan
11,aak,ankave
12,aal,afade
13,aan,anambé
14,aao,"arabic, algerian saharan spoken"
15,aap,"arára, pará"
16,aaq,"abenaki, eastern"
17,aar,afar
18,aas,aasáx
19,aat,"albanian, arvanitika"
20,aau,abau
21,aaw,solong
22,aax,mandobo atas
23,aaz,amarasi
24,aba,abé
25,abb,bankon
26,abc,"ayta, ambala"
27,abd,manide
28,abe,"abenaki, western"
29,abf,abai sungai
30,abg,wagama
31,abh,"arabic, tajiki spoken"
32,abi,abidji
33,abj,aka-bea
34,abk,abkhaz
35,abl,lampung nyo
36,abm,abanyom
37,abn,abua
38,abo,abon
39,abp,"ayta, abellen"
40,abq,abaza
41,abr,abron
42,abs,"malay, ambonese"
43,abt,ambulas
44,abu,abure
45,abv,"arabic, baharna spoken"
46,abw,pal
47,abx,inabaknon
48,aby,aneme wake
49,abz,abui
50,aca,achagua
51,acb,áncá
52,acd,gikyode
53,ace,aceh
54,acf,saint lucian creole french
55,ach,acholi
56,aci,aka-cari
57,ack,aka-kora
58,acl,akar-bale
59,acm,"arabic, mesopotamian spoken"
60,acn,achang
61,acp,"acipa, eastern"
62,acq,"arabic, ta’izzi-adeni spoken"
63,acr,achi
64,acs,acroá
65,act,achterhoeks
66,acu,achuar-shiwiar
67,acv,achumawi
68,acw,"arabic, hijazi spoken"
69,acx,"arabic, omani spoken"
70,acy,"arabic, cypriot spoken"
71,acz,acheron
72,ada,dangme
73,adb,adabe
74,add,lidzonka
75,ade,adele
76,adf,"arabic, dhofari spoken"
77,adg,andegerebinha
78,adh,adhola
79,adi,adi
80,adj,adioukrou
81,adl,"adi, galo"
82,adn,adang
83,ado,abu
84,adq,adangbe
85,adr,adonara
86,ads,adamorobe sign language
87,adt,adnyamathanha
88,adu,aduge
89,adw,amundava
90,adx,"tibetan, amdo"
91,ady,adyghe
92,adz,adzera
93,aea,areba
94,aeb,"arabic, tunisian spoken"
95,aec,"arabic, sa’idi spoken"
96,aed,argentine sign language
97,aee,"pashai, northeast"
98,aek,haeke
99,ael,ambele
100,aem,arem
101,aen,armenian sign language
102,aeq,aer
103,aer,"arrernte, eastern"
104,aeu,akeu
105,aew,ambakich
106,aey,amele
107,aez,aeka
108,afb,"arabic, gulf spoken"
109,afd,andai
110,afe,utugwang-irungene-afrike
111,afg,afghan sign language
112,afi,chini
113,afk,nanubae
114,afn,defaka
115,afo,eloyi
116,afp,tapei
117,afr,afrikaans
118,afs,afro-seminole creole
119,aft,afitti
120,afu,awutu
121,afz,obokuitai
122,aga,aguano
123,agb,legbo
124,agc,agatu
125,agd,agarabi
126,age,angal
127,agf,arguni
128,agg,angor
129,agh,ngelima
130,agi,agariya
131,agj,argobba
132,agk,"agta, isarog"
133,agl,fembe
134,agm,angaataha
135,agn,agutaynen
136,ago,tainae
137,agq,aghem
138,agr,awajún
139,ags,esimbi
140,agt,"agta, central cagayan"
141,agu,awakateko
142,agv,"dumagat, remontado"
143,agw,kahua
144,agx,aghul
145,agy,"alta, southern"
146,agz,"agta, mt. iriga"
147,aha,ahanta
148,ahb,axamb
149,ahg,qimant
150,ahh,aghu
151,ahi,"aizi, tiagbamrin"
152,ahk,akha
153,ahl,igo
154,ahm,"aizi, mobumrin"
155,ahn,àhàn
156,aho,ahom
157,ahp,"aizi, aproumu"
158,ahr,ahirani
159,ahs,ashe
160,aht,ahtena
161,aia,arosi
162,aib,ainu
163,aic,ainbai
164,aid,alngith
165,aie,amara
166,aif,agi
167,aig,antigua and barbuda creole english
168,aih,ai-cham
169,aii,assyrian neo-aramaic
170,aij,inter-zab jewish neo-aramaic
171,aik,ake
172,ail,aimele
173,aim,aimol
174,ain,ainu
175,aio,aiton
176,aip,burumakok
177,aiq,aimaq
178,air,airoran
179,ais,"amis, nataoran"
180,ait,arikem
181,aiw,aari
182,aix,aighon
183,aiy,ali
184,aja,aja
185,ajg,aja
186,aji,ajië
187,ajn,andajin
188,ajp,"arabic, south levantine spoken"
189,ajt,"arabic, judeo-tunisian"
190,aju,"arabic, judeo-moroccan"
191,ajw,ajawa
192,ajz,amri karbi
193,aka,akan
194,akb,batak angkola
195,akc,mpur
196,akd,ukpet-ehom
197,ake,akawaio
198,akf,akpa
199,akg,anakalangu
200,akh,angal heneng
201,aki,aiome
202,akj,aka-jeru
203,akl,inakeanon
204,akm,aka-bo
205,ako,akurio
206,akp,siwu
207,akq,ak
208,akr,araki
209,aks,akaselem
210,akt,akolet
211,aku,akum
212,akv,akhvakh
213,akw,akwa
214,akx,aka-kede
215,aky,aka-kol
216,akz,alabama
217,ala,alago
218,alc,qawasqar
219,ald,alladian
220,ale,aleut
221,alf,alege
222,alh,alawa
223,ali,amaimon
224,alj,alangan
225,alk,alak
226,all,allar
227,alm,amblong
228,aln,"albanian, gheg"
229,alo,larike-wakasihu
230,alp,alune
231,alq,algonquin
232,alr,alutor
233,als,"albanian, tosk"
234,alt,"altai, southern"
235,alu,’are’are
236,alw,alaba-k’abeena
237,alx,amol
238,aly,alyawarr
239,alz,alur
240,ama,amanayé
241,amb,ambo
242,amc,amahuaca
243,ame,yanesha’
244,amf,hamer-banna
245,amg,amurdak
246,amh,amharic
247,ami,amis
248,amj,amdang
249,amk,ambai
250,aml,war-jaintia
251,amm,ama
252,amn,amanab
253,amo,amo
254,amp,alamblak
255,amq,amahai
256,amr,amarakaeri
257,ams,"amami-oshima, southern"
258,amt,amto
259,amu,"amuzgo, guerrero"
260,amv,ambelau
261,amw,western neo-aramaic
262,amx,anmatyerre
263,amy,ami
264,amz,atampaya
265,ana,andaqui
266,anb,andoa
267,anc,ngas
268,and,ansus
269,ane,xârâcùù
270,anf,animere
271,anh,nend
272,ani,andi
273,anj,anor
274,ank,goemai
275,anl,"chin, anu-hkongso"
276,anm,anal
277,ann,obolo
278,ano,andoque
279,anp,angika
280,anq,jarawa
281,anr,andh
282,ans,anserma
283,ant,antakarinya
284,anu,anuak
285,anv,denya
286,anw,anaang
287,anx,andra-hus
288,any,anyin
289,anz,anem
290,aoa,angolar
291,aob,abom
292,aoc,pemon
293,aod,andarum
294,aoe,angal enen
295,aof,bragat
296,aog,angoram
297,aoh,arma
298,aoi,anindilyakwa
299,aoj,mufian
300,aok,arhö
301,aol,alor
302,aom,ömie
303,aon,"arapesh, bumbita"
304,aor,aore
305,aos,taikat
306,aot,atong
307,aou,a’ou
308,aox,atorada
309,aoz,uab meto
310,apb,sa’a
311,apc,"arabic, north levantine spoken"
312,apd,"arabic, sudanese spoken"
313,ape,bukiyip
314,apf,"agta, pahanan"
315,apg,ampanang
316,aph,athpariya
317,api,apiaká
318,apj,"apache, jicarilla"
319,apk,"apache, kiowa"
320,apl,"apache, lipan"
321,apm,"apache, mescalero-chiricahua"
322,apn,apinayé
323,apo,ambul
324,app,apma
325,apq,a-pucikwar
326,apr,arop-lokep
327,aps,arop-sissano
328,apt,apatani
329,apu,apurinã
330,apw,"apache, western"
331,apx,aputai
332,apy,apalaí
333,apz,safeyoka
334,aqc,archi
335,aqd,"dogon, ampari"
336,aqg,arigidi
337,aqm,atohwaim
338,aqn,"alta, northern"
339,aqr,arhâ
340,aqt,angaité
341,aqz,akuntsu
342,arb,"arabic, standard"
343,ard,arabana
344,are,"arrarnta, western"
345,arg,aragonese
346,arh,arhuaco
347,ari,arikara
348,arj,arapaso
349,ark,arikapú
350,arl,arabela
351,arn,mapudungun
352,aro,araona
353,arp,arapaho
354,arq,"arabic, algerian spoken"
355,arr,karo
356,ars,"arabic, najdi spoken"
357,arv,arbore
358,arw,arawak
359,arx,aruá
360,ary,"arabic, moroccan spoken"
361,arz,"arabic, egyptian spoken"
362,asa,asu
363,asb,assiniboine
364,asc,"asmat, casuarina coast"
365,asd,asas
366,ase,american sign language
367,asf,auslan
368,asg,cishingini
369,ash,awishira
370,asi,buruwai
371,asj,sari
372,ask,ashkun
373,asl,asilulu
374,asm,assamese
375,asn,asurini of xingú
376,aso,dano
